date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_50,-9636.25,-9669.45,33.2,-9669.45,100000.0,90330.55,100000.0,-0.0966945,-0.0966945,-9.66945,,,,,,,-9669.45,-0.0966945,,,,,83,25,58,0,-116.4993975904,-247.15,5.1514056225,,,-1947.95,13,-7578.8,62,-142.7,8,0.0,0,Friday,2021-03
2021-03-30,strategy_50,-195.25,-224.45,29.2,-9893.9,90330.55,90106.1,100000.0,-0.098939,-0.0024847629,-0.2484762907,,,,,,,-9893.9,-0.098939,0.7477666063,74.7766606287,0.7477666063,74.7766606287,73,24,49,0,-3.0746575342,-118.15,4.5769406393,,,4015.9,9,-3855.75,60,-384.6,4,0.0,0,Tuesday,2021-03
2021-03-31,strategy_50,-7125.25,-7154.85,29.6,-17048.75,90106.1,82951.25,100000.0,-0.1704875,-0.079404724,-7.9404723987,-0.1704875,-17.04875,,,,,-17048.75,-0.1704875,0.650038889,65.0038889026,0.650038889,65.0038889026,74,17,57,0,-96.6871621622,-152.9,3.6918918919,,,-573.1,19,-4332.2,43,-2249.55,12,0.0,0,Wednesday,2021-03
2021-04-01,strategy_50,2511.0,2477.4,33.6,-14571.35,82951.25,85428.65,100000.0,-0.1457135,0.0298657344,2.9865734392,-0.0542662477,-5.4266247687,,,,,-14571.35,-0.1457135,0.8333660415,83.3366041514,0.8333660415,83.3366041514,84,24,60,0,29.4928571429,-126.4,4.6680555556,,,-344.35,19,5210.85,51,-2389.1,14,0.0,0,Thursday,2021-04
2021-04-05,strategy_50,855.0,820.2,34.8,-13751.15,85428.65,86248.85,100000.0,-0.1375115,0.0096009945,0.9600994514,-0.0428078676,-4.2807867614,-0.1375115,-13.75115,,,-13751.15,-0.1375115,0.8023940957,80.2394095706,0.8023940957,80.2394095706,87,24,63,0,9.4275862069,-244.9,4.2950191571,,,8717.35,16,-5089.3,62,-2807.85,9,0.0,0,Monday,2021-04
2021-04-06,strategy_50,4051.0,4019.8,31.2,-9731.35,86248.85,90268.65,100000.0,-0.0973135,0.0466069982,4.6606998238,0.0882132578,8.8213257787,-0.000685261,-0.0685260967,,,-9731.35,-0.0973135,0.6906464083,69.0646408269,0.8546499006,85.4649900573,78,23,55,0,51.5358974359,-248.65,5.3006410256,,,10546.3,13,-4963.55,52,-1562.95,13,0.0,0,Tuesday,2021-04
2021-04-07,strategy_50,-3157.0,-3164.2,7.2,-12895.55,90268.65,87104.45,100000.0,-0.1289555,-0.0350531441,-3.5053144143,0.0196163699,1.9616369918,-0.0333123951,-3.3312395054,,,-12895.55,-0.1289555,0.7284671277,72.8467127689,0.7987339911,79.8733991113,18,4,14,0,-175.7888888889,-343.775,4.1138888889,,,-3416.55,17,252.35,1,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_50,800.75,767.95,32.8,-12127.6,87104.45,87872.4,100000.0,-0.121276,0.0088164267,0.8816426715,0.0188240191,1.8824019103,0.0593258088,5.9325808834,,,-12127.6,-0.121276,0.4345506827,43.4550682711,0.7605138322,76.0513832188,82,26,56,0,9.3652439024,-118.775,4.762398374,,,-3265.7,18,3879.9,59,153.75,5,0.0,0,Thursday,2021-04
2021-04-09,strategy_50,-5492.0,-5526.4,34.4,-17654.0,87872.4,82346.0,100000.0,-0.17654,-0.0628911922,-6.2891192229,-0.0877674586,-8.7767458581,-0.0360844986,-3.6084498584,,,-17654.0,-0.17654,0.6069545601,60.6954560132,0.756025804,75.6025804003,86,17,69,0,-64.2604651163,-181.65,4.1939922481,,,-1423.0,15,-3436.1,59,-667.3,12,0.0,0,Friday,2021-04
2021-04-12,strategy_50,-2244.75,-2279.15,34.4,-19933.15,82346.0,80066.85,100000.0,-0.1993315,-0.0276777257,-2.7677725694,-0.0807949536,-8.0794953645,-0.071676318,-7.1676318003,-0.1993315,-19.93315,-19933.15,-0.1993315,0.6029995454,60.2999545415,0.7181168461,71.8116846051,86,24,62,0,-26.501744186,-303.025,4.5852713178,,,593.0,15,-3997.5,60,1125.35,11,0.0,0,Monday,2021-04
2021-04-13,strategy_50,7194.5,7162.1,32.4,-12771.05,80066.85,87228.95,100000.0,-0.1277105,0.0894515021,8.9451502089,-0.0073225495,-0.7322549515,-0.0336739278,-3.367392777,-0.0343361133,-3.4336113308,-12771.05,-0.1277105,0.8363841886,83.6384188556,0.7686169735,76.8616973498,81,31,50,0,88.4209876543,-125.65,5.2413580247,,,-2339.55,17,9815.0,50,-313.35,14,0.0,0,Tuesday,2021-04
2021-04-15,strategy_50,7481.25,7452.05,29.2,-5319.0,87228.95,94681.0,100000.0,-0.05319,0.0854309263,8.5430926315,0.1497947684,14.9794768416,0.0869823528,8.6982352796,0.0507723672,5.0772367243,-5319.0,-0.05319,0.9620649931,96.2064993087,0.8748292376,87.4829237587,73,21,52,0,102.0828767123,-220.4,5.0730593607,,,9477.3,13,-5758.1,54,3732.85,6,0.0,0,Thursday,2021-04
