date,strategy_name,daily_gross_pnl,daily_pnl,daily_fees,cumulative_pnl,starting_equity,equity,equity_peak,cumulative_return,daily_return,daily_return_pct,rolling_return_3d,rolling_return_3d_pct,rolling_return_5d,rolling_return_5d_pct,rolling_return_10d,rolling_return_10d_pct,drawdown,drawdown_pct,rolling_volatility_5d,rolling_volatility_5d_pct,rolling_volatility_10d,rolling_volatility_10d_pct,total_trades,winning_trades,losing_trades,flat_trades,avg_trade_pnl,median_trade_pnl,avg_trade_duration_minutes,avg_mae,avg_mfe,opening_session_pnl,opening_session_trades,mid_session_pnl,mid_session_trades,closing_session_pnl,closing_session_trades,unknown_session_pnl,unknown_session_trades,weekday,month
2021-03-26,strategy_S5-7,30560.0,30402.0,158.0,30402.0,100000.0,130402.0,130402.0,0.30402,0.30402,30.402,,,,,,,0.0,0.0,,,,,395,167,228,0,76.9670886076,-57.4,1.0687341772,,,7089.75,80,16282.35,261,7029.9,54,0.0,0,Friday,2021-03
2021-03-30,strategy_S5-7,17584.75,17446.35,138.4,47848.35,130402.0,147848.35,147848.35,0.4784835,0.1337889756,13.3788975629,,,,,,,0.0,0.0,1.3511668677,135.1166867739,1.3511668677,135.1166867739,346,155,191,0,50.4229768786,-32.9,1.0943159923,,,5154.95,67,13156.15,264,-864.75,15,0.0,0,Tuesday,2021-03
2021-03-31,strategy_S5-7,23560.25,23426.25,134.0,71274.6,147848.35,171274.6,171274.6,0.712746,0.1584478285,15.8447828467,0.712746,71.2746,,,,,0.0,0.0,1.1923848785,119.2384878543,1.1923848785,119.2384878543,335,160,175,0,69.9291044776,-10.15,1.2641791045,,,6898.7,77,12685.2,212,3842.35,46,0.0,0,Wednesday,2021-03
2021-04-01,strategy_S5-7,31780.75,31641.95,138.8,102916.55,171274.6,202916.55,202916.55,1.0291655,0.1847439725,18.4743972545,0.5560846459,55.6084645941,,,,,0.0,0.0,1.0371153514,103.7115351402,1.0371153514,103.7115351402,347,178,169,0,91.1871757925,17.1,1.280451489,,,4400.9,74,24760.5,225,2480.55,48,0.0,0,Thursday,2021-04
2021-04-05,strategy_S5-7,14522.5,14355.3,167.2,117271.85,202916.55,217271.85,217271.85,1.1727185,0.0707448456,7.0744845603,0.4695588419,46.9558841881,1.1727185,117.27185,,,0.0,0.0,1.2188151544,121.8815154423,1.2188151544,121.8815154423,418,151,267,0,34.3428229665,-89.65,0.9696172249,,,16261.15,79,-947.3,282,-958.55,57,0.0,0,Monday,2021-04
2021-04-06,strategy_S5-7,21589.75,21431.35,158.4,138703.2,217271.85,238703.2,238703.2,1.387032,0.0986384108,9.863841082,0.3936870966,39.3687096627,0.8305179368,83.0517936841,,,0.0,0.0,0.6472680005,64.7268000486,1.1907603634,119.0760363351,396,164,232,0,54.1195707071,-50.4,1.0483585859,,,9048.65,84,12826.25,260,-443.55,52,0.0,0,Tuesday,2021-04
2021-04-07,strategy_S5-7,4340.75,4307.15,33.6,143010.35,238703.2,243010.35,243010.35,1.4301035,0.0180439558,1.8043955841,0.197587629,19.7587629003,0.6436460062,64.3646006195,,,0.0,0.0,0.9520654774,95.2065477413,1.3502624631,135.026246314,84,34,50,0,51.2755952381,-102.775,1.1279761905,,,3192.6,81,1114.55,3,0.0,0,0.0,0,Wednesday,2021-04
2021-04-08,strategy_S5-7,17569.75,17414.15,155.6,160424.5,243010.35,260424.5,260424.5,1.604245,0.0716601165,7.1660116534,0.1986113249,19.8611324937,0.5205085868,52.0508586796,,,0.0,0.0,0.8673996261,86.7399626059,1.3106797498,131.0679749772,389,153,236,0,44.7664524422,-45.4,1.0538560411,,,-770.55,82,8894.7,267,9290.0,40,0.0,0,Thursday,2021-04
2021-04-09,strategy_S5-7,8677.0,8512.2,164.8,168936.7,260424.5,268936.7,268936.7,1.689367,0.0326858648,3.2685864809,0.1266572882,12.6657288214,0.3253561624,32.5356162422,,,0.0,0.0,0.4621184777,46.211847768,1.3276889102,132.7688910221,412,171,241,0,20.6606796117,-56.65,1.0336569579,,,2250.35,81,6317.85,271,-56.0,60,0.0,0,Friday,2021-04
2021-04-12,strategy_S5-7,21828.75,21661.15,167.6,190597.85,268936.7,290597.85,290597.85,1.9059785,0.0805436744,8.0543674404,0.1958249926,19.5824992639,0.3374850447,33.7485044657,1.9059785,190.59785,0.0,0.0,0.4792316495,47.9231649539,1.272936751,127.2936750972,419,173,246,0,51.6972553699,-60.4,1.0253381066,,,8434.05,78,8571.65,284,4655.45,57,0.0,0,Monday,2021-04
2021-04-13,strategy_S5-7,38947.0,38784.6,162.4,229382.45,290597.85,329382.45,329382.45,2.2938245,0.1334648553,13.3464855297,0.2647905631,26.47905631,0.379882842,37.9882841956,1.5259002929,152.590029294,0.0,0.0,0.6427308802,64.2730880154,0.8112629832,81.1262983233,406,199,207,0,95.5285714286,-13.525,1.1071428571,,,4930.5,80,28945.45,267,4908.65,59,0.0,0,Tuesday,2021-04
2021-04-15,strategy_S5-7,34289.75,34126.55,163.2,263509.0,329382.45,363509.0,363509.0,2.63509,0.1036076755,10.3607675515,0.351652638,35.1652637963,0.4958580982,49.5858098225,1.458661189,145.8661188982,0.0,0.0,0.5325807343,53.2580734349,0.7904349101,79.043491006,408,184,224,0,83.643504902,-29.275,1.0479575163,,,6006.15,79,24122.4,269,3998.0,60,0.0,0,Thursday,2021-04
2021-04-16,strategy_S5-7,18011.0,17858.6,152.4,281367.6,363509.0,381367.6,381367.6,2.813676,0.0491283572,4.9128357207,0.3123552015,31.2355201527,0.4644075346,46.4407534621,1.226644231,122.664423096,0.0,0.0,0.5770871402,57.7087140219,0.7400499052,74.0049905177,381,169,212,0,46.8729658793,-40.4,1.1604111986,,,2967.3,78,12934.15,249,1957.15,54,0.0,0,Friday,2021-04
