Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Execution_Mode,Entry_Label,Exit_Label,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-20,09:18:29,2026-04-20,09:18:41,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24320.85,24319.45,NIFTY21APR2624300CE,24300.0,CE,141.3,140.3,141.05,140.33,145.0,140.0,0.035423,0.035613,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2455,-0.0333,65,-65.0,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:18:29:LONG
2026-04-20,09:19:03,2026-04-20,09:19:09,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24300.15,24305.45,NIFTY21APR2624350PE,24350.0,PE,168.35,166.8,168.16,167.18,170.0,165.0,0.029731,0.029936,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1909,-0.3808,65,-100.75,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:19:03:SHORT
2026-04-20,09:19:32,2026-04-20,09:20:28,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24316.9,24352.25,NIFTY21APR2624300CE,24300.0,CE,136.65,157.15,136.65,157.24,140.0,155.0,0.03661,0.031776,ws,ws,type_b_ladder,type_b_ladder,False,False,0.0029,-0.0889,65,1332.5,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:19:32:LONG
2026-04-20,09:20:50,2026-04-20,09:21:05,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24365.85,24359.05,NIFTY21APR2624350CE,24350.0,CE,132.75,134.45,132.69,134.54,135.0,130.0,0.037707,0.037175,ws,ws,type_b_ladder,type_b_ladder,False,False,0.06,-0.0857,65,110.5,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:20:50:LONG
2026-04-20,09:21:20,2026-04-20,09:21:26,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24356.65,24361.3,NIFTY21APR2624400PE,24400.0,PE,170.0,167.7,169.94,168.09,170.0,165.0,0.029425,0.029775,ws,ws,type_b_ladder,type_b_ladder,False,False,0.06,-0.3938,65,-149.5,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:21:20:SHORT
2026-04-20,09:22:05,2026-04-20,09:22:22,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24373.1,24375.6,NIFTY21APR2624350CE,24350.0,CE,139.95,138.75,139.69,138.89,140.0,135.0,0.035772,0.03601,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2625,-0.1448,65,-78.0,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:22:05:LONG
2026-04-20,09:23:00,2026-04-20,09:23:10,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24379.65,24376.2,NIFTY21APR2624350CE,24350.0,CE,142.4,141.0,142.38,141.21,145.0,140.0,0.035137,0.03543,ws,ws,type_b_ladder,type_b_ladder,False,False,0.02,-0.2143,65,-91.0,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:23:00:LONG
2026-04-20,09:23:26,2026-04-20,09:24:00,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24385.75,24386.65,NIFTY21APR2624350CE,24350.0,CE,146.95,147.5,146.71,147.65,150.0,145.0,0.034072,0.033864,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2444,-0.15,65,35.75,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:23:26:LONG
2026-04-20,09:24:10,2026-04-20,09:24:36,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24392.1,24392.5,NIFTY21APR2624350CE,24350.0,CE,151.2,148.6,151.18,148.68,155.0,145.0,0.033107,0.033613,ws,ws,type_b_ladder,type_b_ladder,False,False,0.025,-0.075,65,-169.0,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:24:10:LONG
2026-04-20,09:24:46,2026-04-20,09:25:00,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24395.2,24393.0,NIFTY21APR2624350CE,24350.0,CE,150.4,149.6,150.18,149.85,155.0,145.0,0.033272,0.033378,ws,ws,type_b_ladder,type_b_ladder,False,False,0.225,-0.2526,65,-52.0,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:24:46:LONG
2026-04-20,09:25:30,2026-04-20,09:25:52,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24407.55,24411.15,NIFTY21APR2624400CE,24400.0,CE,135.65,133.65,135.57,133.9,140.0,130.0,0.036914,0.037369,ws,ws,type_b_ladder,type_b_ladder,False,False,0.0842,-0.25,65,-130.0,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:25:30:LONG
2026-04-20,09:26:30,2026-04-20,09:26:39,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24389.35,24391.45,NIFTY21APR2624400PE,24400.0,PE,151.05,150.0,150.95,150.07,155.0,150.0,0.033124,0.033306,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1,-0.0682,65,-68.25,strategy_S9-149__TYPE_B:NIFTY:2026-04-20T09:26:30:SHORT
