Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-07,09:18:00,2026-04-07,09:18:01,NIFTY,BUY,22775.75,22768.15,NIFTY07APR2622750CE,22750.0,CE,106.0,105.75,110.0,105.0,110.0,105.0,0.002361,0.002361,ws,ws,book_ladder,book_ladder,False,False,-4.0,0.75,65,-16.25,strategy_S9-149:NIFTY:2026-04-07T09:18:00:LONG
2026-04-07,09:18:15,2026-04-07,09:18:33,NIFTY,BUY,22780.35,22776.2,NIFTY07APR2622750CE,22750.0,CE,112.95,110.1,115.0,110.0,115.0,110.0,0.00266,0.002268,ws,ws,book_ladder,book_ladder,False,False,-2.05,0.1,65,-185.25,strategy_S9-149:NIFTY:2026-04-07T09:18:15:LONG
2026-04-07,09:19:23,2026-04-07,09:19:33,NIFTY,BUY,22782.4,22782.4,NIFTY07APR2622750CE,22750.0,CE,112.8,112.2,115.0,110.0,115.0,110.0,0.001775,0.003115,ws,ws,book_ladder,book_ladder,False,False,-2.2,2.2,65,-39.0,strategy_S9-149:NIFTY:2026-04-07T09:19:23:LONG
2026-04-07,09:20:05,2026-04-07,09:20:11,NIFTY,SELL,22764.5,22773.0,NIFTY07APR2622800PE,22800.0,PE,124.15,118.65,125.0,115.0,125.0,115.0,0.002823,0.001684,ws,ws,book_ladder,book_ladder,False,False,-0.85,3.65,65,-357.5,strategy_S9-149:NIFTY:2026-04-07T09:20:05:SHORT
2026-04-07,09:21:01,2026-04-07,09:21:10,NIFTY,BUY,22772.95,22771.6,NIFTY07APR2622750CE,22750.0,CE,100.2,101.5,105.0,100.0,105.0,100.0,0.001998,0.00246,ws,ws,book_ladder,book_ladder,False,False,-4.8,1.5,65,84.5,strategy_S9-149:NIFTY:2026-04-07T09:21:01:LONG
2026-04-07,09:21:41,2026-04-07,09:22:15,NIFTY,BUY,22779.95,22797.9,NIFTY07APR2622750CE,22750.0,CE,105.4,120.75,110.0,120.0,110.0,120.0,0.002375,0.002068,ws,ws,book_ladder,book_ladder,False,False,-4.6,0.75,65,997.75,strategy_S9-149:NIFTY:2026-04-07T09:21:41:LONG
2026-04-07,09:22:30,2026-04-07,09:23:11,NIFTY,BUY,22811.95,22821.8,NIFTY07APR2622800CE,22800.0,CE,99.6,107.5,100.0,105.0,100.0,105.0,0.002513,0.002787,ws,ws,book_ladder,book_ladder,False,False,-0.4,2.5,65,513.5,strategy_S9-149:NIFTY:2026-04-07T09:22:30:LONG
2026-04-07,09:23:31,2026-04-07,09:23:53,NIFTY,SELL,22800.15,22805.35,NIFTY07APR2622850PE,22850.0,PE,134.8,134.15,135.0,130.0,135.0,130.0,0.0026,0.002977,ws,ws,book_ladder,book_ladder,False,False,-0.2,4.15,65,-42.25,strategy_S9-149:NIFTY:2026-04-07T09:23:31:SHORT
2026-04-07,09:24:00,2026-04-07,09:24:06,NIFTY,BUY,22817.55,22808.0,NIFTY07APR2622800CE,22800.0,CE,103.2,99.8,105.0,95.0,105.0,95.0,0.002911,0.001002,ws,ws,book_ladder,book_ladder,False,False,-1.8,4.8,65,-221.0,strategy_S9-149:NIFTY:2026-04-07T09:24:00:LONG
2026-04-07,09:24:50,2026-04-07,09:24:53,NIFTY,BUY,22819.8,22813.85,NIFTY07APR2622800CE,22800.0,CE,104.05,103.65,105.0,100.0,105.0,100.0,0.002887,0.002409,ws,ws,book_ladder,book_ladder,False,False,-0.95,3.65,65,-26.0,strategy_S9-149:NIFTY:2026-04-07T09:24:50:LONG
2026-04-07,09:26:10,2026-04-07,09:27:08,NIFTY,BUY,22831.5,22865.9,NIFTY07APR2622800CE,22800.0,CE,107.95,136.9,110.0,135.0,110.0,135.0,0.002319,0.002553,ws,ws,book_ladder,book_ladder,False,False,-2.05,1.9,65,1881.75,strategy_S9-149:NIFTY:2026-04-07T09:26:10:LONG
2026-04-07,09:27:25,2026-04-07,09:27:53,NIFTY,BUY,22870.35,22880.05,NIFTY07APR2622850CE,22850.0,CE,113.95,121.5,115.0,120.0,115.0,120.0,0.002196,0.002466,ws,ws,book_ladder,book_ladder,False,False,-1.05,1.5,65,490.75,strategy_S9-149:NIFTY:2026-04-07T09:27:25:LONG
2026-04-07,09:28:13,2026-04-07,09:28:18,NIFTY,SELL,22872.9,22876.2,NIFTY07APR2622900PE,22900.0,PE,127.75,124.5,130.0,120.0,130.0,120.0,0.001567,0.000803,ws,ws,book_ladder,book_ladder,False,False,-2.25,4.5,65,-211.25,strategy_S9-149:NIFTY:2026-04-07T09:28:13:SHORT
2026-04-07,09:28:42,2026-04-07,09:28:53,NIFTY,BUY,22882.2,22881.15,NIFTY07APR2622850CE,22850.0,CE,120.4,122.15,125.0,120.0,125.0,120.0,0.002495,0.002861,ws,ws,book_ladder,book_ladder,False,False,-4.6,2.15,65,113.75,strategy_S9-149:NIFTY:2026-04-07T09:28:42:LONG
2026-04-07,09:29:05,2026-04-07,09:29:16,NIFTY,SELL,22875.2,22876.5,NIFTY07APR2622900PE,22900.0,PE,128.1,122.75,130.0,120.0,130.0,120.0,0.001172,0.002035,ws,ws,book_ladder,book_ladder,False,False,-1.9,2.75,65,-347.75,strategy_S9-149:NIFTY:2026-04-07T09:29:05:SHORT
2026-04-07,09:29:29,2026-04-07,09:29:42,NIFTY,BUY,22887.0,22886.95,NIFTY07APR2622850CE,22850.0,CE,127.05,125.45,130.0,125.0,130.0,125.0,0.002364,0.002786,ws,ws,book_ladder,book_ladder,False,False,-2.95,0.45,65,-104.0,strategy_S9-149:NIFTY:2026-04-07T09:29:29:LONG
