Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Execution_Mode,Entry_Label,Exit_Label,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-16,09:18:31,2026-04-16,09:18:42,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24370.25,24370.05,NIFTY21APR2624400PE,24400.0,PE,219.05,218.35,218.83,218.6,220.0,215.0,0.022844,0.022878,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2211,-0.25,65,-45.5,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:18:31:SHORT
2026-04-16,09:19:04,2026-04-16,09:19:20,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24381.5,24382.6,NIFTY21APR2624350CE,24350.0,CE,197.3,198.65,197.1,198.88,200.0,195.0,0.025368,0.025141,ws,ws,type_b_ladder,type_b_ladder,False,False,0.2,-0.225,65,87.75,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:19:04:LONG
2026-04-16,09:19:45,2026-04-16,09:20:12,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24389.35,24389.45,NIFTY21APR2624350CE,24350.0,CE,199.7,206.1,199.46,206.39,200.0,205.0,0.025063,0.024231,ws,ws,type_b_ladder,type_b_ladder,False,False,0.24,-0.2857,65,416.0,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:19:45:LONG
2026-04-16,09:21:36,2026-04-16,09:21:54,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24385.85,24390.5,NIFTY21APR2624400PE,24400.0,PE,209.85,208.15,209.68,208.23,210.0,205.0,0.023846,0.023998,ws,ws,type_b_ladder,type_b_ladder,False,False,0.175,-0.08,65,-110.5,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:21:36:SHORT
2026-04-16,09:22:15,2026-04-16,09:22:23,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24383.6,24387.3,NIFTY21APR2624400PE,24400.0,PE,208.9,207.9,208.88,208.26,210.0,205.0,0.023949,0.024024,ws,ws,type_b_ladder,type_b_ladder,False,False,0.025,-0.36,65,-65.0,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:22:15:SHORT
2026-04-16,09:23:05,2026-04-16,09:23:33,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24385.65,24383.75,NIFTY21APR2624400PE,24400.0,PE,208.2,206.6,208.05,206.91,210.0,205.0,0.024033,0.024178,ws,ws,type_b_ladder,type_b_ladder,False,False,0.15,-0.313,65,-104.0,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:23:05:SHORT
2026-04-16,09:24:33,2026-04-16,09:24:45,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24374.15,24375.75,NIFTY21APR2624400PE,24400.0,PE,210.85,208.45,210.81,208.66,215.0,205.0,0.023722,0.023966,ws,ws,type_b_ladder,type_b_ladder,False,False,0.0375,-0.21,65,-156.0,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:24:33:SHORT
2026-04-16,09:25:09,2026-04-16,09:25:50,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24392.9,24397.55,NIFTY21APR2624350CE,24350.0,CE,203.3,207.45,203.2,207.65,205.0,205.0,0.024618,0.024088,ws,ws,type_b_ladder,type_b_ladder,False,False,0.1,-0.2,65,269.75,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:25:09:LONG
2026-04-16,09:26:24,2026-04-16,09:26:56,NIFTY,SELL,TYPE_B,PASSIVE,HIT_BID,24390.9,24386.7,NIFTY21APR2624400PE,24400.0,PE,199.25,199.5,199.01,199.94,200.0,195.0,0.025119,0.025031,ws,ws,type_b_ladder,type_b_ladder,False,False,0.24,-0.4423,65,16.25,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:26:24:SHORT
2026-04-16,09:27:15,2026-04-16,09:27:38,NIFTY,BUY,TYPE_B,PASSIVE,HIT_BID,24396.35,24393.45,NIFTY21APR2624350CE,24350.0,CE,207.5,204.3,207.12,204.33,210.0,200.0,0.024123,0.024456,ws,ws,type_b_ladder,type_b_ladder,False,False,0.375,-0.0333,65,-208.0,strategy_S9-150__TYPE_B:NIFTY:2026-04-16T09:27:15:LONG
